label,bucket_index,lo_ns,hi_ns,count,cum_count,cum_fraction
jit,64,16,17,16,16,4e-05
jit,65,17,18,2070,2086,0.005215
jit,66,18,19,9448,11534,0.028835
jit,67,19,20,20185,31719,0.0792975
jit,68,20,21,29120,60839,0.152097
jit,69,21,22,33323,94162,0.235405
jit,70,22,23,32882,127044,0.31761
jit,71,23,24,29385,156429,0.391072
jit,72,24,25,25970,182399,0.455998
jit,73,25,26,23458,205857,0.514643
jit,74,26,27,22095,227952,0.56988
jit,75,27,28,20164,248116,0.62029
jit,76,28,29,17579,265695,0.664238
jit,77,29,30,14647,280342,0.700855
jit,78,30,31,11606,291948,0.72987
jit,79,31,32,8702,300650,0.751625
jit,80,32,34,13495,314145,0.785362
jit,81,34,36,14881,329026,0.822565
jit,82,36,38,12363,341389,0.853472
jit,83,38,40,4483,345872,0.86468
jit,84,40,42,1676,347548,0.86887
jit,85,42,44,1447,348995,0.872487
jit,86,44,46,1128,350123,0.875308
jit,87,46,48,2150,352273,0.880683
jit,88,48,50,12239,364512,0.91128
jit,89,50,52,9580,374092,0.93523
jit,90,52,54,1503,375595,0.938987
jit,91,54,56,289,375884,0.93971
jit,92,56,58,179,376063,0.940157
jit,93,58,60,202,376265,0.940662
jit,94,60,62,113,376378,0.940945
jit,95,62,64,106,376484,0.94121
jit,96,64,68,129,376613,0.941532
jit,97,68,72,115,376728,0.94182
jit,98,72,76,139,376867,0.942168
jit,99,76,80,68,376935,0.942338
jit,100,80,84,64,376999,0.942497
jit,101,84,88,47,377046,0.942615
jit,102,88,92,49,377095,0.942738
jit,103,92,96,32,377127,0.942817
jit,104,96,100,24,377151,0.942878
jit,105,100,104,24,377175,0.942937
jit,106,104,108,13,377188,0.94297
jit,107,108,112,19,377207,0.943017
jit,108,112,116,17,377224,0.94306
jit,109,116,120,16,377240,0.9431
jit,110,120,124,16,377256,0.94314
jit,111,124,128,15,377271,0.943178
jit,112,128,136,38,377309,0.943272
jit,113,136,144,21,377330,0.943325
jit,114,144,152,21,377351,0.943377
jit,115,152,160,26,377377,0.943442
jit,116,160,168,16,377393,0.943483
jit,117,168,176,24,377417,0.943542
jit,118,176,184,17,377434,0.943585
jit,119,184,192,18,377452,0.94363
jit,120,192,200,22,377474,0.943685
jit,121,200,208,15,377489,0.943723
jit,122,208,216,23,377512,0.94378
jit,123,216,224,15,377527,0.943817
jit,124,224,232,19,377546,0.943865
jit,125,232,240,21,377567,0.943917
jit,126,240,248,12,377579,0.943948
jit,127,248,256,24,377603,0.944007
jit,128,256,272,35,377638,0.944095
jit,129,272,288,35,377673,0.944183
jit,130,288,304,33,377706,0.944265
jit,131,304,320,34,377740,0.94435
jit,132,320,336,37,377777,0.944442
jit,133,336,352,33,377810,0.944525
jit,134,352,368,37,377847,0.944617
jit,135,368,384,30,377877,0.944693
jit,136,384,400,33,377910,0.944775
jit,137,400,416,34,377944,0.94486
jit,138,416,432,35,377979,0.944948
jit,139,432,448,36,378015,0.945037
jit,140,448,464,33,378048,0.94512
jit,141,464,480,31,378079,0.945198
jit,142,480,496,33,378112,0.94528
jit,143,496,512,35,378147,0.945368
jit,144,512,544,73,378220,0.94555
jit,145,544,576,64,378284,0.94571
jit,146,576,608,70,378354,0.945885
jit,147,608,640,69,378423,0.946057
jit,148,640,672,66,378489,0.946222
jit,149,672,704,67,378556,0.94639
jit,150,704,736,69,378625,0.946562
jit,151,736,768,66,378691,0.946728
jit,152,768,800,68,378759,0.946897
jit,153,800,832,70,378829,0.947072
jit,154,832,864,68,378897,0.947242
jit,155,864,896,65,378962,0.947405
jit,156,896,928,68,379030,0.947575
jit,157,928,960,66,379096,0.94774
jit,158,960,992,72,379168,0.94792
jit,159,992,1024,65,379233,0.948083
jit,160,1024,1088,141,379374,0.948435
jit,161,1088,1152,133,379507,0.948767
jit,162,1152,1216,132,379639,0.949098
jit,163,1216,1280,138,379777,0.949442
jit,164,1280,1344,127,379904,0.94976
jit,165,1344,1408,131,380035,0.950087
jit,166,1408,1472,133,380168,0.95042
jit,167,1472,1536,128,380296,0.95074
jit,168,1536,1600,128,380424,0.95106
jit,169,1600,1664,134,380558,0.951395
jit,170,1664,1728,129,380687,0.951717
jit,171,1728,1792,134,380821,0.952052
jit,172,1792,1856,131,380952,0.95238
jit,173,1856,1920,128,381080,0.9527
jit,174,1920,1984,134,381214,0.953035
jit,175,1984,2048,129,381343,0.953357
jit,176,2048,2176,260,381603,0.954008
jit,177,2176,2304,268,381871,0.954677
jit,178,2304,2432,259,382130,0.955325
jit,179,2432,2560,262,382392,0.95598
jit,180,2560,2688,265,382657,0.956642
jit,181,2688,2816,255,382912,0.95728
jit,182,2816,2944,262,383174,0.957935
jit,183,2944,3072,263,383437,0.958592
jit,184,3072,3200,260,383697,0.959242
jit,185,3200,3328,263,383960,0.9599
jit,186,3328,3456,260,384220,0.96055
jit,187,3456,3584,262,384482,0.961205
jit,188,3584,3712,265,384747,0.961867
jit,189,3712,3840,263,385010,0.962525
jit,190,3840,3968,261,385271,0.963178
jit,191,3968,4096,260,385531,0.963827
jit,192,4096,4352,515,386046,0.965115
jit,193,4352,4608,488,386534,0.966335
jit,194,4608,4864,490,387024,0.96756
jit,195,4864,5120,478,387502,0.968755
jit,196,5120,5376,412,387914,0.969785
jit,197,5376,5632,349,388263,0.970657
jit,198,5632,5888,348,388611,0.971527
jit,199,5888,6144,319,388930,0.972325
jit,200,6144,6400,283,389213,0.973032
jit,201,6400,6656,228,389441,0.973603
jit,202,6656,6912,206,389647,0.974117
jit,203,6912,7168,206,389853,0.974633
jit,204,7168,7424,206,390059,0.975147
jit,205,7424,7680,198,390257,0.975642
jit,206,7680,7936,189,390446,0.976115
jit,207,7936,8192,187,390633,0.976583
jit,208,8192,8704,349,390982,0.977455
jit,209,8704,9216,262,391244,0.97811
jit,210,9216,9728,263,391507,0.978768
jit,211,9728,10240,264,391771,0.979428
jit,212,10240,10752,231,392002,0.980005
jit,213,10752,11264,188,392190,0.980475
jit,214,11264,11776,187,392377,0.980943
jit,215,11776,12288,187,392564,0.98141
jit,216,12288,12800,146,392710,0.981775
jit,217,12800,13312,149,392859,0.982147
jit,218,13312,13824,147,393006,0.982515
jit,219,13824,14336,147,393153,0.982882
jit,220,14336,14848,147,393300,0.98325
jit,221,14848,15360,150,393450,0.983625
jit,222,15360,15872,154,393604,0.98401
jit,223,15872,16384,124,393728,0.98432
jit,224,16384,17408,221,393949,0.984873
jit,225,17408,18432,223,394172,0.98543
jit,226,18432,19456,222,394394,0.985985
jit,227,19456,20480,221,394615,0.986537
jit,228,20480,21504,222,394837,0.987093
jit,229,21504,22528,223,395060,0.98765
jit,230,22528,23552,160,395220,0.98805
jit,231,23552,24576,148,395368,0.98842
jit,232,24576,25600,147,395515,0.988788
jit,233,25600,26624,146,395661,0.989152
jit,234,26624,27648,147,395808,0.98952
jit,235,27648,28672,147,395955,0.989888
jit,236,28672,29696,146,396101,0.990252
jit,237,29696,30720,148,396249,0.990622
jit,238,30720,31744,148,396397,0.990993
jit,239,31744,32768,147,396544,0.99136
jit,240,32768,34816,296,396840,0.9921
jit,241,34816,36864,296,397136,0.99284
jit,242,36864,38912,295,397431,0.993578
jit,243,38912,40960,294,397725,0.994313
jit,244,40960,43008,296,398021,0.995053
jit,245,43008,45056,297,398318,0.995795
jit,246,45056,47104,295,398613,0.996533
jit,247,47104,49152,295,398908,0.99727
jit,248,49152,51200,294,399202,0.998005
jit,249,51200,53248,297,399499,0.998748
jit,250,53248,55296,295,399794,0.999485
jit,251,55296,57344,206,400000,1
