label,bucket_index,lo_ns,hi_ns,count,cum_count,cum_fraction
jit,112,128,136,4,4,1e-05
jit,113,136,144,8,12,3e-05
jit,114,144,152,7,19,4.75e-05
jit,115,152,160,11,30,7.5e-05
jit,116,160,168,75,105,0.0002625
jit,117,168,176,7841,7946,0.019865
jit,118,176,184,25341,33287,0.0832175
jit,119,184,192,87486,120773,0.301932
jit,120,192,200,123837,244610,0.611525
jit,121,200,208,94588,339198,0.847995
jit,122,208,216,24634,363832,0.90958
jit,123,216,224,4210,368042,0.920105
jit,124,224,232,855,368897,0.922242
jit,125,232,240,605,369502,0.923755
jit,126,240,248,752,370254,0.925635
jit,127,248,256,828,371082,0.927705
jit,128,256,272,2231,373313,0.933283
jit,129,272,288,1768,375081,0.937702
jit,130,288,304,733,375814,0.939535
jit,131,304,320,582,376396,0.94099
jit,132,320,336,340,376736,0.94184
jit,133,336,352,159,376895,0.942237
jit,134,352,368,136,377031,0.942577
jit,135,368,384,147,377178,0.942945
jit,136,384,400,167,377345,0.943362
jit,137,400,416,197,377542,0.943855
jit,138,416,432,112,377654,0.944135
jit,139,432,448,63,377717,0.944292
jit,140,448,464,33,377750,0.944375
jit,141,464,480,26,377776,0.94444
jit,142,480,496,27,377803,0.944508
jit,143,496,512,41,377844,0.94461
jit,144,512,544,51,377895,0.944738
jit,145,544,576,47,377942,0.944855
jit,146,576,608,39,377981,0.944952
jit,147,608,640,48,378029,0.945072
jit,148,640,672,46,378075,0.945187
jit,149,672,704,45,378120,0.9453
jit,150,704,736,36,378156,0.94539
jit,151,736,768,36,378192,0.94548
jit,152,768,800,48,378240,0.9456
jit,153,800,832,46,378286,0.945715
jit,154,832,864,38,378324,0.94581
jit,155,864,896,37,378361,0.945902
jit,156,896,928,42,378403,0.946008
jit,157,928,960,49,378452,0.94613
jit,158,960,992,41,378493,0.946233
jit,159,992,1024,35,378528,0.94632
jit,160,1024,1088,89,378617,0.946542
jit,161,1088,1152,83,378700,0.94675
