label,bucket_index,lo_ns,hi_ns,count,cum_count,cum_fraction
jit,106,104,108,276,276,0.00069
jit,107,108,112,3880,4156,0.01039
jit,108,112,116,13366,17522,0.043805
jit,109,116,120,23216,40738,0.101845
jit,110,120,124,28233,68971,0.172428
jit,111,124,128,27402,96373,0.240932
jit,112,128,136,41487,137860,0.34465
jit,113,136,144,24681,162541,0.406353
jit,114,144,152,7777,170318,0.425795
jit,115,152,160,11756,182074,0.455185
jit,116,160,168,39072,221146,0.552865
jit,117,168,176,44872,266018,0.665045
jit,118,176,184,42906,308924,0.77231
jit,119,184,192,28178,337102,0.842755
jit,120,192,200,5438,342540,0.85635
jit,121,200,208,3438,345978,0.864945
jit,122,208,216,2889,348867,0.872167
jit,123,216,224,720,349587,0.873968
jit,124,224,232,244,349831,0.874578
jit,125,232,240,133,349964,0.87491
jit,126,240,248,117,350081,0.875202
jit,127,248,256,101,350182,0.875455
jit,128,256,272,103,350285,0.875713
jit,129,272,288,65,350350,0.875875
jit,130,288,304,75,350425,0.876062
jit,131,304,320,53,350478,0.876195
jit,132,320,336,36,350514,0.876285
jit,133,336,352,33,350547,0.876367
jit,134,352,368,44,350591,0.876478
jit,135,368,384,41,350632,0.87658
jit,136,384,400,31,350663,0.876657
jit,137,400,416,30,350693,0.876733
jit,138,416,432,22,350715,0.876788
jit,139,432,448,16,350731,0.876827
jit,140,448,464,25,350756,0.87689
jit,141,464,480,20,350776,0.87694
jit,142,480,496,22,350798,0.876995
jit,143,496,512,27,350825,0.877062
jit,144,512,544,40,350865,0.877162
jit,145,544,576,38,350903,0.877258
jit,146,576,608,43,350946,0.877365
jit,147,608,640,49,350995,0.877487
jit,148,640,672,37,351032,0.87758
jit,149,672,704,42,351074,0.877685
jit,150,704,736,43,351117,0.877792
jit,151,736,768,50,351167,0.877918
jit,152,768,800,34,351201,0.878003
jit,153,800,832,39,351240,0.8781
jit,154,832,864,42,351282,0.878205
jit,155,864,896,47,351329,0.878323
jit,156,896,928,38,351367,0.878417
jit,157,928,960,44,351411,0.878528
jit,158,960,992,44,351455,0.878637
jit,159,992,1024,38,351493,0.878733
jit,160,1024,1088,83,351576,0.87894
jit,161,1088,1152,80,351656,0.87914
jit,162,1152,1216,81,351737,0.879343
jit,163,1216,1280,86,351823,0.879557
jit,164,1280,1344,82,351905,0.879763
jit,165,1344,1408,77,351982,0.879955
jit,166,1408,1472,87,352069,0.880173
jit,167,1472,1536,75,352144,0.88036
jit,168,1536,1600,88,352232,0.88058
jit,169,1600,1664,80,352312,0.88078
jit,170,1664,1728,84,352396,0.88099
jit,171,1728,1792,84,352480,0.8812
jit,172,1792,1856,80,352560,0.8814
jit,173,1856,1920,80,352640,0.8816
jit,174,1920,1984,93,352733,0.881833
jit,175,1984,2048,80,352813,0.882032
jit,176,2048,2176,164,352977,0.882443
jit,177,2176,2304,163,353140,0.88285
jit,178,2304,2432,168,353308,0.88327
