label,bucket_index,lo_ns,hi_ns,count,cum_count,cum_fraction
interpreter,120,192,200,7,7,7e-06
interpreter,121,200,208,91502,91509,0.091509
interpreter,122,208,216,314101,405610,0.40561
interpreter,123,216,224,60986,466596,0.466596
interpreter,124,224,232,21941,488537,0.488537
interpreter,125,232,240,4690,493227,0.493227
interpreter,126,240,248,1911,495138,0.495138
interpreter,127,248,256,462,495600,0.4956
interpreter,128,256,272,397,495997,0.495997
interpreter,129,272,288,94629,590626,0.590626
interpreter,130,288,304,343417,934043,0.934043
interpreter,131,304,320,55443,989486,0.989486
interpreter,132,320,336,4745,994231,0.994231
interpreter,133,336,352,1922,996153,0.996153
interpreter,134,352,368,505,996658,0.996658
interpreter,135,368,384,202,996860,0.99686
interpreter,136,384,400,359,997219,0.997219
interpreter,137,400,416,278,997497,0.997497
interpreter,138,416,432,334,997831,0.997831
interpreter,139,432,448,364,998195,0.998195
interpreter,140,448,464,175,998370,0.99837
interpreter,141,464,480,144,998514,0.998514
interpreter,142,480,496,129,998643,0.998643
interpreter,143,496,512,102,998745,0.998745
interpreter,144,512,544,188,998933,0.998933
interpreter,145,544,576,104,999037,0.999037
interpreter,146,576,608,180,999217,0.999217
interpreter,147,608,640,116,999333,0.999333
interpreter,148,640,672,85,999418,0.999418
interpreter,149,672,704,41,999459,0.999459
interpreter,150,704,736,14,999473,0.999473
interpreter,151,736,768,22,999495,0.999495
interpreter,152,768,800,25,999520,0.99952
interpreter,153,800,832,11,999531,0.999531
interpreter,154,832,864,3,999534,0.999534
interpreter,155,864,896,4,999538,0.999538
interpreter,156,896,928,5,999543,0.999543
interpreter,157,928,960,3,999546,0.999546
interpreter,158,960,992,1,999547,0.999547
interpreter,159,992,1024,2,999549,0.999549
interpreter,160,1024,1088,1,999550,0.99955
interpreter,161,1088,1152,4,999554,0.999554
interpreter,162,1152,1216,3,999557,0.999557
interpreter,163,1216,1280,5,999562,0.999562
interpreter,164,1280,1344,3,999565,0.999565
interpreter,165,1344,1408,3,999568,0.999568
interpreter,166,1408,1472,3,999571,0.999571
interpreter,168,1536,1600,2,999573,0.999573
interpreter,169,1600,1664,2,999575,0.999575
interpreter,179,2432,2560,1,999576,0.999576
interpreter,181,2688,2816,1,999577,0.999577
interpreter,182,2816,2944,4,999581,0.999581
interpreter,183,2944,3072,3,999584,0.999584
interpreter,184,3072,3200,3,999587,0.999587
interpreter,185,3200,3328,6,999593,0.999593
interpreter,186,3328,3456,5,999598,0.999598
interpreter,187,3456,3584,6,999604,0.999604
interpreter,188,3584,3712,2,999606,0.999606
interpreter,189,3712,3840,6,999612,0.999612
interpreter,190,3840,3968,4,999616,0.999616
interpreter,191,3968,4096,7,999623,0.999623
interpreter,192,4096,4352,16,999639,0.999639
interpreter,193,4352,4608,8,999647,0.999647
interpreter,194,4608,4864,10,999657,0.999657
interpreter,195,4864,5120,24,999681,0.999681
interpreter,196,5120,5376,37,999718,0.999718
interpreter,197,5376,5632,36,999754,0.999754
interpreter,198,5632,5888,14,999768,0.999768
interpreter,199,5888,6144,24,999792,0.999792
interpreter,200,6144,6400,17,999809,0.999809
interpreter,201,6400,6656,13,999822,0.999822
interpreter,202,6656,6912,11,999833,0.999833
interpreter,203,6912,7168,11,999844,0.999844
interpreter,204,7168,7424,5,999849,0.999849
interpreter,205,7424,7680,8,999857,0.999857
interpreter,206,7680,7936,8,999865,0.999865
interpreter,207,7936,8192,6,999871,0.999871
interpreter,208,8192,8704,4,999875,0.999875
interpreter,209,8704,9216,10,999885,0.999885
interpreter,210,9216,9728,8,999893,0.999893
interpreter,211,9728,10240,1,999894,0.999894
interpreter,212,10240,10752,2,999896,0.999896
interpreter,213,10752,11264,4,999900,0.9999
interpreter,214,11264,11776,4,999904,0.999904
interpreter,215,11776,12288,6,999910,0.99991
interpreter,216,12288,12800,3,999913,0.999913
interpreter,217,12800,13312,5,999918,0.999918
interpreter,218,13312,13824,3,999921,0.999921
interpreter,219,13824,14336,1,999922,0.999922
interpreter,220,14336,14848,2,999924,0.999924
interpreter,222,15360,15872,2,999926,0.999926
interpreter,224,16384,17408,1,999927,0.999927
interpreter,225,17408,18432,1,999928,0.999928
interpreter,226,18432,19456,1,999929,0.999929
interpreter,227,19456,20480,4,999933,0.999933
interpreter,228,20480,21504,2,999935,0.999935
interpreter,230,22528,23552,2,999937,0.999937
interpreter,231,23552,24576,3,999940,0.99994
interpreter,232,24576,25600,2,999942,0.999942
interpreter,233,25600,26624,5,999947,0.999947
interpreter,234,26624,27648,3,999950,0.99995
interpreter,235,27648,28672,3,999953,0.999953
interpreter,236,28672,29696,1,999954,0.999954
interpreter,237,29696,30720,3,999957,0.999957
interpreter,238,30720,31744,4,999961,0.999961
interpreter,239,31744,32768,2,999963,0.999963
interpreter,240,32768,34816,2,999965,0.999965
interpreter,241,34816,36864,2,999967,0.999967
interpreter,242,36864,38912,1,999968,0.999968
interpreter,243,38912,40960,2,999970,0.99997
interpreter,244,40960,43008,2,999972,0.999972
interpreter,245,43008,45056,1,999973,0.999973
interpreter,247,47104,49152,3,999976,0.999976
interpreter,248,49152,51200,2,999978,0.999978
interpreter,249,51200,53248,1,999979,0.999979
interpreter,252,57344,59392,2,999981,0.999981
interpreter,256,65536,69632,1,999982,0.999982
interpreter,257,69632,73728,1,999983,0.999983
interpreter,263,94208,98304,1,999984,0.999984
interpreter,266,106496,110592,1,999985,0.999985
interpreter,268,114688,118784,2,999987,0.999987
interpreter,269,118784,122880,2,999989,0.999989
interpreter,270,122880,126976,2,999991,0.999991
interpreter,271,126976,131072,4,999995,0.999995
interpreter,275,155648,163840,2,999997,0.999997
interpreter,277,172032,180224,1,999998,0.999998
interpreter,282,212992,221184,1,999999,0.999999
interpreter,285,237568,245760,1,1000000,1
jit,105,100,104,887,887,0.000887
jit,106,104,108,63002,63889,0.063889
jit,107,108,112,155007,218896,0.218896
jit,108,112,116,168237,387133,0.387133
jit,109,116,120,86081,473214,0.473214
jit,110,120,124,15442,488656,0.488656
jit,111,124,128,3449,492105,0.492105
jit,112,128,136,3575,495680,0.49568
jit,113,136,144,1033,496713,0.496713
jit,114,144,152,91182,587895,0.587895
jit,115,152,160,303698,891593,0.891593
jit,116,160,168,85483,977076,0.977076
jit,117,168,176,7238,984314,0.984314
jit,118,176,184,7719,992033,0.992033
jit,119,184,192,4690,996723,0.996723
jit,120,192,200,1070,997793,0.997793
jit,121,200,208,385,998178,0.998178
jit,122,208,216,121,998299,0.998299
jit,123,216,224,73,998372,0.998372
jit,124,224,232,89,998461,0.998461
jit,125,232,240,143,998604,0.998604
jit,126,240,248,123,998727,0.998727
jit,127,248,256,81,998808,0.998808
jit,128,256,272,112,998920,0.99892
jit,129,272,288,193,999113,0.999113
jit,130,288,304,101,999214,0.999214
jit,131,304,320,61,999275,0.999275
jit,132,320,336,57,999332,0.999332
jit,133,336,352,71,999403,0.999403
jit,134,352,368,48,999451,0.999451
jit,135,368,384,43,999494,0.999494
jit,136,384,400,127,999621,0.999621
jit,137,400,416,47,999668,0.999668
jit,138,416,432,6,999674,0.999674
jit,139,432,448,9,999683,0.999683
jit,140,448,464,6,999689,0.999689
jit,141,464,480,3,999692,0.999692
jit,142,480,496,3,999695,0.999695
jit,143,496,512,4,999699,0.999699
jit,144,512,544,6,999705,0.999705
jit,145,544,576,7,999712,0.999712
jit,146,576,608,4,999716,0.999716
jit,148,640,672,3,999719,0.999719
jit,149,672,704,2,999721,0.999721
jit,150,704,736,1,999722,0.999722
jit,151,736,768,2,999724,0.999724
jit,152,768,800,1,999725,0.999725
jit,153,800,832,1,999726,0.999726
jit,154,832,864,1,999727,0.999727
jit,156,896,928,1,999728,0.999728
jit,159,992,1024,1,999729,0.999729
jit,160,1024,1088,5,999734,0.999734
jit,161,1088,1152,6,999740,0.99974
jit,162,1152,1216,6,999746,0.999746
jit,163,1216,1280,1,999747,0.999747
jit,166,1408,1472,1,999748,0.999748
jit,170,1664,1728,1,999749,0.999749
jit,172,1792,1856,1,999750,0.99975
jit,175,1984,2048,1,999751,0.999751
jit,176,2048,2176,1,999752,0.999752
jit,180,2560,2688,2,999754,0.999754
jit,181,2688,2816,2,999756,0.999756
jit,182,2816,2944,1,999757,0.999757
jit,183,2944,3072,1,999758,0.999758
jit,184,3072,3200,4,999762,0.999762
jit,186,3328,3456,1,999763,0.999763
jit,187,3456,3584,5,999768,0.999768
jit,188,3584,3712,1,999769,0.999769
jit,189,3712,3840,3,999772,0.999772
jit,190,3840,3968,5,999777,0.999777
jit,191,3968,4096,1,999778,0.999778
jit,192,4096,4352,5,999783,0.999783
jit,193,4352,4608,6,999789,0.999789
jit,194,4608,4864,21,999810,0.99981
jit,195,4864,5120,15,999825,0.999825
jit,196,5120,5376,11,999836,0.999836
jit,197,5376,5632,10,999846,0.999846
jit,198,5632,5888,5,999851,0.999851
jit,199,5888,6144,11,999862,0.999862
jit,200,6144,6400,9,999871,0.999871
jit,201,6400,6656,7,999878,0.999878
jit,202,6656,6912,4,999882,0.999882
jit,203,6912,7168,3,999885,0.999885
