label,bucket_index,lo_ns,hi_ns,count,cum_count,cum_fraction
interpreter,122,208,216,4,4,4e-06
interpreter,123,216,224,87,91,9.1e-05
interpreter,124,224,232,51,142,0.000142
interpreter,125,232,240,29,171,0.000171
interpreter,126,240,248,31,202,0.000202
interpreter,127,248,256,8,210,0.00021
interpreter,128,256,272,18,228,0.000228
interpreter,129,272,288,5,233,0.000233
interpreter,130,288,304,7,240,0.00024
interpreter,131,304,320,256830,257070,0.25707
interpreter,132,320,336,602343,859413,0.859413
interpreter,133,336,352,60437,919850,0.91985
interpreter,134,352,368,23053,942903,0.942903
interpreter,135,368,384,25081,967984,0.967984
interpreter,136,384,400,17843,985827,0.985827
interpreter,137,400,416,4745,990572,0.990572
interpreter,138,416,432,4007,994579,0.994579
interpreter,139,432,448,1600,996179,0.996179
interpreter,140,448,464,495,996674,0.996674
interpreter,141,464,480,337,997011,0.997011
interpreter,142,480,496,213,997224,0.997224
interpreter,143,496,512,177,997401,0.997401
interpreter,144,512,544,282,997683,0.997683
interpreter,145,544,576,267,997950,0.99795
interpreter,146,576,608,153,998103,0.998103
interpreter,147,608,640,128,998231,0.998231
interpreter,148,640,672,160,998391,0.998391
interpreter,149,672,704,145,998536,0.998536
interpreter,150,704,736,172,998708,0.998708
interpreter,151,736,768,156,998864,0.998864
interpreter,152,768,800,93,998957,0.998957
interpreter,153,800,832,62,999019,0.999019
interpreter,154,832,864,74,999093,0.999093
interpreter,155,864,896,65,999158,0.999158
interpreter,156,896,928,56,999214,0.999214
interpreter,157,928,960,44,999258,0.999258
interpreter,158,960,992,92,999350,0.99935
interpreter,159,992,1024,32,999382,0.999382
interpreter,160,1024,1088,21,999403,0.999403
interpreter,161,1088,1152,7,999410,0.99941
interpreter,162,1152,1216,10,999420,0.99942
interpreter,163,1216,1280,4,999424,0.999424
interpreter,164,1280,1344,10,999434,0.999434
interpreter,165,1344,1408,8,999442,0.999442
interpreter,166,1408,1472,5,999447,0.999447
interpreter,167,1472,1536,11,999458,0.999458
interpreter,168,1536,1600,7,999465,0.999465
interpreter,169,1600,1664,2,999467,0.999467
interpreter,170,1664,1728,3,999470,0.99947
interpreter,171,1728,1792,2,999472,0.999472
interpreter,172,1792,1856,2,999474,0.999474
interpreter,173,1856,1920,5,999479,0.999479
interpreter,174,1920,1984,1,999480,0.99948
interpreter,175,1984,2048,2,999482,0.999482
interpreter,176,2048,2176,3,999485,0.999485
interpreter,177,2176,2304,2,999487,0.999487
interpreter,178,2304,2432,3,999490,0.99949
interpreter,179,2432,2560,2,999492,0.999492
interpreter,180,2560,2688,3,999495,0.999495
interpreter,181,2688,2816,2,999497,0.999497
interpreter,182,2816,2944,4,999501,0.999501
interpreter,183,2944,3072,4,999505,0.999505
interpreter,184,3072,3200,3,999508,0.999508
interpreter,185,3200,3328,1,999509,0.999509
interpreter,186,3328,3456,3,999512,0.999512
interpreter,187,3456,3584,7,999519,0.999519
interpreter,188,3584,3712,3,999522,0.999522
interpreter,189,3712,3840,6,999528,0.999528
interpreter,190,3840,3968,4,999532,0.999532
interpreter,192,4096,4352,8,999540,0.99954
interpreter,193,4352,4608,8,999548,0.999548
interpreter,194,4608,4864,8,999556,0.999556
interpreter,195,4864,5120,13,999569,0.999569
interpreter,196,5120,5376,19,999588,0.999588
interpreter,197,5376,5632,24,999612,0.999612
interpreter,198,5632,5888,19,999631,0.999631
interpreter,199,5888,6144,22,999653,0.999653
interpreter,200,6144,6400,13,999666,0.999666
interpreter,201,6400,6656,32,999698,0.999698
interpreter,202,6656,6912,18,999716,0.999716
interpreter,203,6912,7168,18,999734,0.999734
interpreter,204,7168,7424,18,999752,0.999752
interpreter,205,7424,7680,11,999763,0.999763
interpreter,206,7680,7936,9,999772,0.999772
interpreter,207,7936,8192,7,999779,0.999779
interpreter,208,8192,8704,11,999790,0.99979
interpreter,209,8704,9216,7,999797,0.999797
interpreter,210,9216,9728,6,999803,0.999803
interpreter,211,9728,10240,9,999812,0.999812
interpreter,212,10240,10752,9,999821,0.999821
interpreter,213,10752,11264,8,999829,0.999829
interpreter,214,11264,11776,10,999839,0.999839
interpreter,215,11776,12288,6,999845,0.999845
interpreter,216,12288,12800,1,999846,0.999846
interpreter,217,12800,13312,4,999850,0.99985
interpreter,218,13312,13824,3,999853,0.999853
interpreter,219,13824,14336,3,999856,0.999856
interpreter,220,14336,14848,2,999858,0.999858
interpreter,221,14848,15360,4,999862,0.999862
interpreter,222,15360,15872,3,999865,0.999865
interpreter,224,16384,17408,7,999872,0.999872
interpreter,225,17408,18432,5,999877,0.999877
interpreter,226,18432,19456,3,999880,0.99988
interpreter,227,19456,20480,1,999881,0.999881
interpreter,228,20480,21504,5,999886,0.999886
interpreter,229,21504,22528,1,999887,0.999887
interpreter,230,22528,23552,1,999888,0.999888
interpreter,231,23552,24576,1,999889,0.999889
interpreter,232,24576,25600,3,999892,0.999892
interpreter,233,25600,26624,1,999893,0.999893
interpreter,234,26624,27648,3,999896,0.999896
interpreter,235,27648,28672,6,999902,0.999902
interpreter,236,28672,29696,5,999907,0.999907
interpreter,237,29696,30720,3,999910,0.99991
interpreter,238,30720,31744,5,999915,0.999915
interpreter,239,31744,32768,2,999917,0.999917
interpreter,240,32768,34816,1,999918,0.999918
interpreter,241,34816,36864,3,999921,0.999921
interpreter,242,36864,38912,4,999925,0.999925
interpreter,243,38912,40960,3,999928,0.999928
interpreter,244,40960,43008,4,999932,0.999932
interpreter,245,43008,45056,1,999933,0.999933
interpreter,246,45056,47104,2,999935,0.999935
interpreter,247,47104,49152,3,999938,0.999938
interpreter,248,49152,51200,3,999941,0.999941
interpreter,249,51200,53248,3,999944,0.999944
interpreter,250,53248,55296,4,999948,0.999948
interpreter,253,59392,61440,1,999949,0.999949
interpreter,254,61440,63488,1,999950,0.99995
interpreter,256,65536,69632,3,999953,0.999953
interpreter,257,69632,73728,2,999955,0.999955
interpreter,258,73728,77824,2,999957,0.999957
interpreter,259,77824,81920,2,999959,0.999959
interpreter,260,81920,86016,5,999964,0.999964
interpreter,261,86016,90112,1,999965,0.999965
interpreter,262,90112,94208,4,999969,0.999969
interpreter,264,98304,102400,2,999971,0.999971
interpreter,265,102400,106496,2,999973,0.999973
interpreter,269,118784,122880,4,999977,0.999977
interpreter,270,122880,126976,5,999982,0.999982
interpreter,272,131072,139264,5,999987,0.999987
interpreter,273,139264,147456,3,999990,0.99999
interpreter,274,147456,155648,1,999991,0.999991
interpreter,275,155648,163840,1,999992,0.999992
interpreter,276,163840,172032,1,999993,0.999993
interpreter,279,188416,196608,1,999994,0.999994
interpreter,282,212992,221184,1,999995,0.999995
interpreter,294,360448,376832,1,999996,0.999996
interpreter,301,475136,491520,1,999997,0.999997
interpreter,315,884736,917504,1,999998,0.999998
interpreter,320,1048576,1114112,1,999999,0.999999
interpreter,358,5767168,6029312,1,1000000,1
jit,108,112,116,5,5,5e-06
jit,109,116,120,27,32,3.2e-05
jit,110,120,124,53,85,8.5e-05
jit,111,124,128,28,113,0.000113
jit,112,128,136,28,141,0.000141
jit,113,136,144,54,195,0.000195
jit,114,144,152,21,216,0.000216
jit,115,152,160,19,235,0.000235
jit,116,160,168,4165,4400,0.0044
jit,117,168,176,288505,292905,0.292905
jit,118,176,184,627387,920292,0.920292
jit,119,184,192,42453,962745,0.962745
jit,120,192,200,19852,982597,0.982597
jit,121,200,208,9594,992191,0.992191
jit,122,208,216,3059,995250,0.99525
jit,123,216,224,359,995609,0.995609
jit,124,224,232,1228,996837,0.996837
jit,125,232,240,596,997433,0.997433
jit,126,240,248,233,997666,0.997666
jit,127,248,256,370,998036,0.998036
jit,128,256,272,486,998522,0.998522
jit,129,272,288,213,998735,0.998735
jit,130,288,304,140,998875,0.998875
jit,131,304,320,120,998995,0.998995
jit,132,320,336,72,999067,0.999067
jit,133,336,352,71,999138,0.999138
jit,134,352,368,65,999203,0.999203
jit,135,368,384,75,999278,0.999278
jit,136,384,400,56,999334,0.999334
jit,137,400,416,33,999367,0.999367
jit,138,416,432,18,999385,0.999385
jit,139,432,448,34,999419,0.999419
jit,140,448,464,36,999455,0.999455
jit,141,464,480,13,999468,0.999468
jit,142,480,496,13,999481,0.999481
jit,143,496,512,9,999490,0.99949
jit,144,512,544,112,999602,0.999602
jit,145,544,576,12,999614,0.999614
jit,146,576,608,7,999621,0.999621
jit,147,608,640,5,999626,0.999626
jit,148,640,672,2,999628,0.999628
jit,149,672,704,2,999630,0.99963
jit,150,704,736,3,999633,0.999633
jit,151,736,768,2,999635,0.999635
jit,152,768,800,3,999638,0.999638
jit,153,800,832,1,999639,0.999639
jit,154,832,864,2,999641,0.999641
jit,156,896,928,1,999642,0.999642
jit,157,928,960,2,999644,0.999644
jit,158,960,992,1,999645,0.999645
jit,159,992,1024,2,999647,0.999647
jit,160,1024,1088,2,999649,0.999649
jit,161,1088,1152,3,999652,0.999652
jit,162,1152,1216,2,999654,0.999654
jit,163,1216,1280,1,999655,0.999655
jit,164,1280,1344,1,999656,0.999656
jit,175,1984,2048,1,999657,0.999657
jit,176,2048,2176,1,999658,0.999658
jit,181,2688,2816,1,999659,0.999659
jit,182,2816,2944,4,999663,0.999663
jit,183,2944,3072,2,999665,0.999665
jit,184,3072,3200,4,999669,0.999669
jit,185,3200,3328,3,999672,0.999672
jit,186,3328,3456,6,999678,0.999678
jit,187,3456,3584,2,999680,0.99968
jit,188,3584,3712,2,999682,0.999682
jit,189,3712,3840,4,999686,0.999686
jit,190,3840,3968,4,999690,0.99969
jit,191,3968,4096,3,999693,0.999693
jit,192,4096,4352,8,999701,0.999701
jit,193,4352,4608,5,999706,0.999706
jit,194,4608,4864,7,999713,0.999713
jit,195,4864,5120,20,999733,0.999733
jit,196,5120,5376,12,999745,0.999745
jit,197,5376,5632,26,999771,0.999771
jit,198,5632,5888,24,999795,0.999795
jit,199,5888,6144,21,999816,0.999816
jit,200,6144,6400,13,999829,0.999829
jit,201,6400,6656,14,999843,0.999843
jit,202,6656,6912,12,999855,0.999855
jit,203,6912,7168,4,999859,0.999859
jit,204,7168,7424,5,999864,0.999864
jit,205,7424,7680,4,999868,0.999868
jit,206,7680,7936,2,999870,0.99987
jit,207,7936,8192,7,999877,0.999877
jit,208,8192,8704,9,999886,0.999886
jit,209,8704,9216,6,999892,0.999892
jit,210,9216,9728,2,999894,0.999894
jit,211,9728,10240,5,999899,0.999899
jit,212,10240,10752,4,999903,0.999903
jit,213,10752,11264,4,999907,0.999907
jit,214,11264,11776,4,999911,0.999911
jit,215,11776,12288,3,999914,0.999914
jit,216,12288,12800,1,999915,0.999915
jit,217,12800,13312,1,999916,0.999916
jit,218,13312,13824,1,999917,0.999917
jit,219,13824,14336,3,999920,0.99992
jit,220,14336,14848,1,999921,0.999921
jit,221,14848,15360,2,999923,0.999923
jit,222,15360,15872,1,999924,0.999924
jit,223,15872,16384,2,999926,0.999926
jit,224,16384,17408,1,999927,0.999927
jit,225,17408,18432,2,999929,0.999929
jit,226,18432,19456,1,999930,0.99993
jit,227,19456,20480,1,999931,0.999931
jit,228,20480,21504,4,999935,0.999935
jit,230,22528,23552,1,999936,0.999936
jit,232,24576,25600,2,999938,0.999938
jit,233,25600,26624,1,999939,0.999939
jit,234,26624,27648,1,999940,0.99994
jit,235,27648,28672,1,999941,0.999941
jit,236,28672,29696,2,999943,0.999943
jit,237,29696,30720,1,999944,0.999944
jit,238,30720,31744,1,999945,0.999945
jit,239,31744,32768,4,999949,0.999949
jit,240,32768,34816,4,999953,0.999953
jit,242,36864,38912,1,999954,0.999954
jit,243,38912,40960,2,999956,0.999956
jit,245,43008,45056,1,999957,0.999957
jit,247,47104,49152,1,999958,0.999958
jit,248,49152,51200,3,999961,0.999961
jit,250,53248,55296,1,999962,0.999962
jit,254,61440,63488,1,999963,0.999963
jit,257,69632,73728,1,999964,0.999964
jit,259,77824,81920,2,999966,0.999966
jit,263,94208,98304,1,999967,0.999967
jit,269,118784,122880,4,999971,0.999971
jit,270,122880,126976,6,999977,0.999977
jit,271,126976,131072,3,999980,0.99998
jit,272,131072,139264,6,999986,0.999986
jit,273,139264,147456,5,999991,0.999991
jit,274,147456,155648,2,999993,0.999993
jit,279,188416,196608,1,999994,0.999994
jit,280,196608,204800,2,999996,0.999996
jit,281,204800,212992,1,999997,0.999997
jit,283,221184,229376,1,999998,0.999998
jit,284,229376,237568,2,1000000,1
