label,bucket_index,lo_ns,hi_ns,count,cum_count,cum_fraction
interpreter,70,22,23,1,1,1e-06
interpreter,71,23,24,1400,1401,0.001401
interpreter,72,24,25,91800,93201,0.093201
interpreter,73,25,26,354382,447583,0.447583
interpreter,74,26,27,429339,876922,0.876922
interpreter,75,27,28,102910,979832,0.979832
interpreter,76,28,29,14022,993854,0.993854
interpreter,77,29,30,476,994330,0.99433
interpreter,78,30,31,1702,996032,0.996032
interpreter,79,31,32,1917,997949,0.997949
interpreter,80,32,34,718,998667,0.998667
interpreter,81,34,36,234,998901,0.998901
interpreter,82,36,38,56,998957,0.998957
interpreter,83,38,40,32,998989,0.998989
interpreter,84,40,42,85,999074,0.999074
interpreter,85,42,44,34,999108,0.999108
interpreter,86,44,46,26,999134,0.999134
interpreter,87,46,48,32,999166,0.999166
interpreter,88,48,50,27,999193,0.999193
interpreter,89,50,52,29,999222,0.999222
interpreter,90,52,54,26,999248,0.999248
interpreter,91,54,56,23,999271,0.999271
interpreter,92,56,58,9,999280,0.99928
interpreter,93,58,60,15,999295,0.999295
interpreter,94,60,62,17,999312,0.999312
interpreter,95,62,64,23,999335,0.999335
interpreter,96,64,68,279,999614,0.999614
interpreter,97,68,72,149,999763,0.999763
interpreter,98,72,76,35,999798,0.999798
interpreter,99,76,80,15,999813,0.999813
interpreter,100,80,84,15,999828,0.999828
interpreter,101,84,88,7,999835,0.999835
interpreter,102,88,92,8,999843,0.999843
interpreter,103,92,96,11,999854,0.999854
interpreter,104,96,100,12,999866,0.999866
interpreter,105,100,104,2,999868,0.999868
interpreter,106,104,108,4,999872,0.999872
interpreter,107,108,112,5,999877,0.999877
interpreter,108,112,116,2,999879,0.999879
interpreter,109,116,120,7,999886,0.999886
interpreter,110,120,124,8,999894,0.999894
interpreter,111,124,128,6,999900,0.9999
interpreter,112,128,136,9,999909,0.999909
interpreter,113,136,144,14,999923,0.999923
interpreter,114,144,152,2,999925,0.999925
interpreter,115,152,160,2,999927,0.999927
interpreter,116,160,168,6,999933,0.999933
interpreter,117,168,176,4,999937,0.999937
interpreter,118,176,184,6,999943,0.999943
interpreter,119,184,192,5,999948,0.999948
interpreter,120,192,200,1,999949,0.999949
interpreter,121,200,208,2,999951,0.999951
interpreter,122,208,216,2,999953,0.999953
interpreter,123,216,224,1,999954,0.999954
interpreter,128,256,272,2,999956,0.999956
interpreter,131,304,320,1,999957,0.999957
interpreter,135,368,384,2,999959,0.999959
interpreter,139,432,448,1,999960,0.99996
interpreter,177,2176,2304,1,999961,0.999961
