signal,path,events,interp_throughput,interp_p50,interp_p99,interp_p999,jit_throughput,jit_p50,jit_p99,jit_p999,hw_throughput,hw_p50,hw_p99,hw_p999,speedup_median,jit_mode
spread,jit_none,1000000,4.09734e+07,22,35,258,1.00784e+08,8,14,19,1.06442e+08,8,13,17,2.46395,enabled
spread,jit_all,1000000,2.56758e+07,37,44,287,1.168e+08,6,13,17,1.04987e+08,8,13,16,3.99998,enabled
momentum,jit_none,1000000,1.20654e+07,79,98,359,8.17055e+07,10,15,20,,,,,6.68624,enabled
momentum,jit_all,1000000,1.22179e+07,78,98,354,8.96432e+07,9,15,19,,,,,7.56699,enabled
spread_z,jit_none,1000000,5.81715e+06,166,315,473,2.17932e+07,43,61,399,1.24148e+08,6,10,12,4.1055,enabled
spread_z,jit_all,1000000,5.82806e+06,166,302,463,5.35642e+07,17,21,176,1.20969e+08,7,12,15,9.21923,enabled
z,jit_none,1000000,5.98058e+06,162,294,458,2.29278e+07,41,51,303,,,,,4.06703,enabled
z,jit_all,1000000,5.99726e+06,162,295,451,2.51075e+07,37,46,312,,,,,4.18292,enabled
dev,jit_none,1000000,6.44555e+06,148,392,699,1.84721e+07,50,62,405,,,,,2.86587,enabled
dev,jit_all,1000000,6.57111e+06,148,183,441,3.56063e+07,26,29,263,,,,,5.44089,enabled
all_signals,jit_none,1000000,2.20334e+06,444,729,800,1.31834e+07,73,90,462,1.14639e+08,7,13,17,5.98336,enabled
all_signals,jit_all,1000000,2.16601e+06,444,851,1447,3.42956e+07,27,34,236,1.10867e+08,8,13,16,15.5654,enabled
