# profile: lowering=none (stateful ops as opaque jit_rt_* calls; pre-P0 architecture)
samples_total=1526
  Overhead   Samples  Symbol
  --------   -------  -------------------------------------------------------------
   59.764%       912  jitse::RingStatsStddevSample(jitse::RingStatsState const&)
   28.375%       433  [JIT]
    3.997%        61  jit_rt_sma_prepare
    3.604%        55  jit_rt_rolling_std
    2.163%        33  [unknown]
    0.983%        15  jit_rt_ema_alpha
    0.852%        13  jit_rt_lag
    0.262%         4  jit_rt_symbol_ctx

